route                                         title-len desc-len  og:img  canon  h1
/                                                    65      159       Y      Y   1   | Flood Barrier Manufacturer &amp; Supplier from China | Tucsenberg
/products                                            40      183       Y      Y   1   | Flood Barrier Product Lines | Tucsenberg
/products/abs-flood-barriers                         67      150       Y      Y   1   | ABS Interlocking Flood Barriers — Freestanding Boxwall | Tucsenberg
/products/aluminum-flood-gates                       70      160       Y      Y   1   | Aluminum Flood Gates for Doors &amp; Garages — Custom-Cut | Tucsenberg
/products/absorbent-flood-bags                       75      158       Y      Y   1   | Sandless Sandbags &amp; Water-Activated Flood Bags — Wholesale | Tucse
/products/flood-tube-dams                            76      168       Y      Y   1   | Water &amp; Air-Filled Tube Dams — Flood Barriers for Long Runs | Tucs
/products/frp-flood-barriers                         64      154       Y      Y   1   | FRP Composite Flood Barrier Planks — Corrosion-Free | Tucsenberg
/contact                                             63      138       Y      Y   1   | Contact Tucsenberg — Flood Barrier Supplier, China | Tucsenberg
/request-quote                                       52      185       Y      Y   1   | Request a Quote — Reply Within 12 Hours | Tucsenberg
/about                                               78      169       Y      Y   1   | About Tucsenberg — Factory-Direct Flood Barrier Supply from China | Tu
/oem-wholesale                                       74      151       Y      Y   1   | OEM &amp; Private Label Flood Barriers — Wholesale from China | Tucsen
/warranty                                            28      134       Y      Y   1   | Warranty Policy | Tucsenberg
/privacy                                             27       93       Y      Y   1   | Privacy Policy | Tucsenberg
/terms                                               29       79       Y      Y   1   | Terms of Service | Tucsenberg
/guides/flood-barrier-materials-guide                79      150       Y      Y   1   | ABS vs Aluminum vs FRP vs Water-Filled Flood Barriers — 2026 Guide | T
/guides/flood-barrier-specifications                 63      153       Y      Y   1   | Demountable Flood Barrier Specifications Explained | Tucsenberg
